UTSUM_Electricity_Usage,INFO_Year of Construction,INFO_Number of Stories,INFO_Total Square Feet,PLEI_1_Quantity,PLEI_3_Quantity
"117,870 kWh",1955,4,"14,600",1,2
"16,207 kWh",1940,1,600,1,
"15,564 kWh",1920,2,"6,000",2,1
"25,851 kWh",1965,1,"5,000",6,1
"32,343 kWh",1930,3,"4,196",1,1
"106,938 kWh",1910,1,"2,200",2,1
"228,985 kWh",1964,2,"26,318",18,7
"228,985 kWh",1964,2,"26,318",18,7
"380,400 kWh",1931,4,"65,000",2,27
"4,510 kWh",1910,3,"3,024",2,1
"10,722 kWh",1897,2,"3,800",4,1
,1931,2,"2,400",2,1
"6,365 kWh",1931,1,"3,128",4,1
"15,130 kWh",1931,1,"5,700",1,2
"51,172 kWh",1960,2,"15,000",2,1
"2,213 kWh",1960,2,"3,500",1,
"21,583 kWh",1931,2,"2,200",1,1
"14,232 kWh",1870,2,"6,022",2,7
"18,774 kWh",1965,2,"10,300",1,1
"12,663 kWh",1934,2,"2,178",1,1
"12,651 kWh",1934,2,"1,304",7,5
"7,769 kWh",1900,2,"1,100",2,2
"3,144 kWh",2006,1,"3,371",4,1
"41,130 kWh",1931,2,"4,800",1,1
"11,861 kWh",1931,1,"2,000",2,1
"15,145 kWh",1921,1,"5,300",1,1
"38,471 kWh",1900,4,"10,209",6,2
"34,740 kWh",1990,2,"5,400",3,1
"9,525 kWh",1950,2,"17,872",4,2
"7,911 kWh",1940,2,"2,700",1,1
"69,695 kWh",1950,3,"17,651",6,9
"4,670 kWh",1930,2,"2,400",4,1
"6,499 kWh",1920,2,"9,000",2,7
"11,243 kWh",1930,2,"7,200",2,6
"132,940 kWh",unknown,2,"10,418",4,2
"79,360 kWh",,2,"22,637",1,1
"44,874 kWh",1890,3,"8,300",15,4
"49,960 kWh",1900,2,"3,420",4,1
"25,632 kWh",1899,2,"2,800",2,1
"6,732 kWh",1920,2,"2,141",1,2
"13,607 kWh",1886,2,"3,854",1,1
"5,712 kWh",-,3,"3,000",3,1
"8,532 kWh",<Year>,2,"1,520",1,3
636 kWh,Unknown,3,"2,400",1,1
"29,196 kWh",1920,4,"9,729",2,1
"15,840 kWh",1930,2,"2,500",2,4
"14,638 kWh",1929,2,"2,480",3,1
"6,134 kWh",1910,2,"2,880",1,
"14,688 kWh",,1,"1,250",9,7
"57,400 kWh",1950,2,"12,000",3,1
"9,801 kWh",1910,2,"1,980",1,1
"156,080 kWh",1910,3,"7,847",3,2
"12,021 kWh",1950,1,"7,300",3,2
"58,081 kWh",1920,3,"6,656",1,2
"180,840 kWh",1910,4,"4,555",22,9
"31,880 kWh",1847,2,"9,280",1,2
"5,945 kWh",,2,"4,032",5,1
"46,231 kWh",1847,2,"12,500",3,4
"170,240 kWh",1931,4,"6,304",8,14
"84,231 kWh",1961,3,"9,014",6,2
"7,990 kWh",1931,3,"1,782",1,2
"7,992 kWh",1931,1,700,2,2
"3,545 kWh",1890,2,"3,600",,
"4,283 kWh",1931,1,650,1,2
"4,752 kWh",1910,1,"1,920",1,1
"37,760 kWh",1965,1,"10,989",6,3
"34,110 kWh",1946,4,"25,505",9,9
"4,533 kWh",1926,4,"4,095",1,1
,1900,4,"9,744",1,1
"21,930 kWh",1935,2,"2,170",1,13
"205,336 kWh",1910,4,"22,911",1,7
"5,400 kWh",1914,2,"7,038",1,2
"61,983 kWh",1942,2,"10,000",8,1
"30,616 kWh",1931,1,"2,000",2,1
"97,200 kWh",1910,3,"7,500",2,1
"29,849 kWh",1971,1,"3,500",13,
"14,650 kWh",1950,1,800,,
"17,291 kWh",1950,1,"1,500",,
"15,392 kWh",1940,1,"2,000",8,1
"16,088 kWh",1965,1,"7,826",,
"33,778 kWh",1900,1,900,,
,2006,3,"5,000",2,1
"22,770 kWh",1931,1,"1,800",1,ModelNumber
"28,020 kWh",1931,3,"9,600",2,3
"92,932 kWh",2004,1,"1,500",1,2
"6,042 kWh",1950,1,"1,000",,
"54,860 kWh",1929,2,800,1,
"55,500 kWh",1929,2,"1,000",1,
"4,007 kWh",1929,2,600,1,
"97,587 kWh",2013,2,"6,000",,
"9,740 kWh",1926,2,"4,592",1,1
"74,760 kWh",1930,2,"8,172",21,1
"23,643 kWh",1931,2,"3,075",1,4
,1928,3,"18,000",3,1
"4,757 kWh",1917,4,"5,248",1,2
"4,757 kWh",1917,4,"5,248",1,2
"12,636 kWh",1925,3,"5,416",1,1
"34,372 kWh",1965,1,"8,900",,
,1908,2,900,2,1
"186,302 kWh",1930,4,"15,914",40,3
"16,417 kWh",1930,3,"5,141",7,3
"50,604 kWh",1922,1,800,3,2
"6,962 kWh",1910,4,"6,095",3,1
