Property Name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas
ChurchofStCeciliaReport,11.65140596,0.983531348,0.096226455,0.366193236
69thLaneStudio,32.76988438,5.008371873,0.322599638,0.57959223
UnitarianChurchofStatenIsland,2.345049272,0.296133819,0.032705972,0.036460695
SSolowayandSonsPIPPrinting,4.618817159,0.765188561,0.02750427,0.23466382
SunnysideJewishCenterReport,9.323896186,1.23432624,0.322599638,0.57959223
MoonbluIncdbaJoyBurgerBar,45.17394981,8.437620188,3.813677406,0.673378309
TempleSholom,7.108796544,1.863127708,0.029156422,0.560720947
TempleSholom_(1),7.108796544,1.863127708,0.029156422,0.560720947
EastMidwoodJewishCenter,5.65569336,0.356230155,0.074841027,1.352528204
UnitedChurchofGod,9.417943048,1.768558542,0.357803094,0.210292496
RossvilleAMEZionChurch,2.697652244,0.179331772,0.042588743,0.639048418
PentecostalHouseofPrayer,3.548317442,0.838068798,0.322599638,0.57959223
BethelCommunityChurch,4.084495193,1.027600769,0.048815539,0.636409562
RefugeChurchofGod,4.533751037,0.902759537,0.032833511,0.719650745
BethelAMEChurch,3.544474854,0.216975049,0.017726724,0.007526078
BethelAMEChurchHouse,5.543205628,2.741274765,0.322599638,0.57959223
GospelAssembly,9.20209303,1.398907677,0.101437594,0.621744224
FirstPresbyterianChurchofWhitestone,3.178672445,0.481868754,0.066364847,0.057102961
FirstSpanishMethodistChurch,1.91273045,0.175044543,0.17700395,0.156157661
SpringfieldGardensChurchoftheNazarene_-_Church,4.185433735,1.738493008,0.079863788,0.021132007
SpringfieldGardensChurchoftheNazarene_-_Parsonage,8.443327866,1.372648498,0.254538007,0.029613568
GraceandMercyChristianNationalChurch,6.870328451,1.048357339,0.322599638,0.57959223
ChurchofGodMissionInternational,0.738576742,0.208891091,0.025937254,0.25087818
BethanyFrenchBaptistChurch,7.098200237,2.101349822,0.001729906,1.125770094
RockawayYouthTaskForce,10.38467261,1.18091698,0.322599638,0.57959223
ReshapingLivesMinistries,3.841720528,0.696030264,0.322599638,0.57959223
ChurchofGodofThirdAvenue,3.310471177,0.645675372,0.134225048,0.716831461
FirstRevelationChurch,5.657046721,1.278143306,0.063112266,0.950962289
UnitedMethodistChurchofHempstead-Church,1.761865661,0.640510396,0.11639834,0.439075233
UnitedMethodistChurchofHempstead-Parsonage,6.278926767,3.127464625,0.322599638,0.57959223
UnitedMethodistChurchofHempstead-ParishHall,5.192908824,0.658387522,0.096477999,0.364042333
Immanual-FirstSpanishUMC-Parsonage,1.975340929,0.138996202,0.322599638,0.57959223
Immanuel-FirstSpanishUMC-Church,0.68275628,0.085947726,0.322599638,0.57959223
PilgrimCathedralofEastNewYork,1.554692604,0.05159382,0.060403409,0.651957702
WaysideBaptistChurch,13.90091699,1.725385073,0.08527751,1.887574809
WaysideBaptistChurch-ManorBuilding,4.499702774,0.576713216,0.039499521,0.021089902
ElPuente,6.386627252,0.517260008,0.05843415,1.202789658
NewMtZionBaptistChurch,12.85334066,2.279995723,0.021255609,0.375766709
UPROSE,6.669401635,2.792303672,0.185843516,1.695685383
InglesiaPentecostalRosadeSaron,3.269593796,0.097104083,0.322599638,0.57959223
BethelUnitedMethodistChurch,3.382436876,0.26320503,0.080937437,0.018951518
ElLiriodelosValles,9.851185956,1.0758177,0.097451801,0.563577816
TrinityUMCEastRichmondHill,5.379950668,1.006534335,0.322599638,0.57959223
TrinityUMCEastRichmondHill-Parsonage,0.279239613,0.057400161,0.322599638,0.57959223
TheLambsChurchoftheNazarene,2.312499601,0.790770838,0.188581935,0.471708481
HisMajestyInternationalFellowship,9.662210377,0.958768188,0.104703939,0.218353557
ChristianMissionofStJohn316,9.371488788,1.804539781,0.017235803,0.771170755
ElgantoLLC,1.974116534,0.202893177,0.12721259,0.475792656
"4-1_Vision_Education_Media,_LLC_-_NYSERDA_Energy_Assessment_Report",9.851185956,1.0758177,0.322599638,0.57959223
NYSERDA_Energy_Assessment_Report_-_Central_Family_Life_Center,4.985847164,1.413640438,0.130748977,0.562104934
FlowerWorksdbaJaricanFlorist,4.585292984,0.466875384,0.226912528,0.692196232
CongregationOhabZedekSynagogue,16.45993959,3.61484793,0.178244823,0.288464788
4-203-236-StPaulUMC-Church,4.174132412,1.015005976,0.166664921,0.827056103
MemorialBaptistChurch,8.76143734,0.390915945,0.028730894,0.202395508
AnchorHouse-ParkPl,40.67305279,6.587211456,0.786570671,0.700616647
FirstUMCofJamaica-Church,2.766020187,0.674934082,0.137837436,0.040228192
FirstUMCofJamaica-Parsonage,1.78004252,0.434886618,0.00949314,0.63894436
FirstUMCofJamaica-EdBuilding,2.977866093,0.726689415,0.238984204,0.041268058
AnchorHouse-BergenSt,20.73354105,6.861011721,0.829357852,1.750591387
GraceUMCofStAlbans-Church,8.777209477,1.312875979,0.0757172,1.072885523
GraceUMCofStAlbansParsonage,4.53175944,1.083655061,0.101114142,0.719890853
HarrietTubmanFannieLouHamerCollectivedbaSistasPlace,9.851185956,1.0758177,0.322599638,0.57959223
ReachOutAndTouchMinistriesReport,0.834317969,0.174735026,0.207653904,0.62961649
AbengCenter,9.744489836,1.252960949,0.322599638,0.57959223
HouseofArtGallery,3.062213253,0.849198272,0.322599638,0.57959223
SouthernBaptistChurch,3.499831131,3.175873094,0.072450134,0.409307863
StMarksUnitedMethodistChurch,9.04369668,0.858945884,0.041072483,0.264007758
StMarksUnitedMethodistChurch-Parsonage,4.263552658,3.43826772,0.629953778,0.641888508
NYSERDA_Energy_Assessment_Report_-_Spanish_Van_Dyckman_SDA_Church,9.851185956,1.0758177,0.322599638,0.57959223
CommunityBaptistChurch,4.621996153,5.579672945,0.064366715,2.997384437
NYSERDA_Energy_Assessment_Report_-_AME_Zion_Church_on_the_Hill,9.851185956,1.0758177,0.322599638,0.57959223
RendallMemorialPresbyterianChurch,2.257090792,0.773500944,0.011178147,0.745507841
NYSERDA_Energy_Assessment_Report_-_The_CHS_Group,9.302564371,1.065507234,0.035786022,0.11972482
