Unitarian-s,index,Unitarian-h,Unitarian-l,Unitarian-p,Unitarian-t,Parish-h,Parish-l,Parish-p,Parish-t,Basement-l,Basement-l,Basement-p,Basement-t,Office-h,Office-l,Office-p,Office-t
3/30/2016 12:50,313,45.8913,34.0475,1032.55,15.0338,27.9546,54.8257,1032.04,13.6932,29.9459,3.56536,1032.51,15.8489,24.2467,42.2865,1032.44,22.5307
3/30/2016 13:00,314,43.9458,36.3393,1032.41,15.0124,28.008,60.3373,1031.88,13.661,29.9306,3.54255,1032.55,15.8275,23.2931,50.2925,1032.02,23.3565
3/30/2016 13:10,315,44.1289,42.5776,1032.51,14.9587,27.9699,67.1963,1032.06,13.6396,31.0293,3.55174,1032.6,15.8167,22.6369,50.8625,1032.04,23.9785
3/30/2016 13:20,316,43.633,45.5915,1032.51,14.9266,28.0004,71.0294,1032.01,13.5859,30.5257,3.56297,1032.53,15.8275,22.5835,49.478,1032.06,24.0536
3/30/2016 13:30,317,43.778,55.5702,1032.47,14.9051,28.0843,79.8547,1031.86,13.5859,30.0756,3.54156,1032.53,15.8275,23.438,44.1825,1032.05,23.2707
3/30/2016 13:40,318,44.7545,54.3676,1032.42,14.8837,28.0309,82.6955,1031.86,13.5645,30.3121,3.53074,1032.38,15.7953,23.8119,60.9992,1031.87,22.8953
3/30/2016 13:50,319,43.2821,60.0962,1032.21,14.8515,28.0233,89.2689,1031.78,13.5323,30.9301,3.56041,1032.33,15.7953,24.0026,42.143,1031.93,22.6379
3/30/2016 14:00,320,44.1747,65.1593,1032.01,14.83,28.1682,96.2347,1031.59,13.5109,31.3039,3.53226,1032.14,15.8275,24.1552,63.0347,1032.02,22.402
3/30/2016 14:10,321,44.5028,70.2546,1032.21,14.83,28.5116,100.335,1031.7,13.5323,30.1595,3.5364,1032.3,15.806,23.1862,59.4563,1031.78,23.3565
3/30/2016 14:20,322,44.312,74.359,1032.07,14.83,28.6413,103.475,1031.61,13.5323,30.1671,3.53115,1032.12,15.7846,22.6064,88.3795,1031.56,23.9464
